,I,pval_norm,var_norm,pval_norm_fdr_bh
MGP,0.8685050781098017,0.0,9.178751e-05,0.0
MALAT1,0.7625571254770189,0.0,9.178751e-05,0.0
CRISP3,0.7263232080418518,0.0,9.178751e-05,0.0
CPB1,0.7110176204983534,0.0,9.178751e-05,0.0
IGHG3,0.70382201010976,0.0,9.178751e-05,0.0
IGLC2,0.7003091415780218,0.0,9.178751e-05,0.0
IGKC,0.6807008095497432,0.0,9.178751e-05,0.0
ALB,0.6678594737858936,0.0,9.178751e-05,0.0
HLA-A,0.653304554474946,0.0,9.178751e-05,0.0
IFI27,0.6492038472685203,0.0,9.178751e-05,0.0
IGHG1,0.6352726696902004,0.0,9.178751e-05,0.0
IGHG4,0.6315371343543007,0.0,9.178751e-05,0.0
CXCL14,0.6208148984593328,0.0,9.178751e-05,0.0
SLITRK6,0.6175375316553856,0.0,9.178751e-05,0.0
S100G,0.6158234011683732,0.0,9.178751e-05,0.0
